step,chunk_id,chunk_index,chunk_boundary,deadline_offset_ns,emit_offset_ns,fallback,observation_age_ns,safety_flags,safety_rejected,action_0,action_1,action_2,action_3,action_4,action_5,action_6
0,0,-1,0,0,65083,1,0,0,0,0,0,0,0,0,0,0
1,0,-1,0,100000000,100063964,1,0,0,0,0,0,0,0,0,0,0
2,1,2,1,200000000,200062455,0,300618528,1,0,0.521629,0.346474,0.103224,-0.0433133,-0.0122368,0.000485249,-1
3,1,3,0,300000000,300064567,0,400620609,1,0,0.686143,0.355002,0.0753168,-0.0483282,-0.00721562,0.000515787,-1
4,1,4,0,400000000,400076449,0,500632491,1,0,0.724046,0.370543,-0.0219502,-0.00589647,-0.023914,0.0107434,-1
5,2,2,1,500000000,500066480,0,456378835,1,0,0.533554,0.33705,0.109085,-0.0456562,-0.0107737,-0.000350751,-1
6,2,3,0,600000000,600068832,0,556380986,1,0,0.70055,0.344153,0.0792963,-0.0501711,-0.00604843,-0.000225736,-1
7,2,4,0,700000000,700075533,0,656388138,1,0,0.736131,0.354988,-0.0208046,-0.00690165,-0.0231776,0.0101475,-1
8,3,2,1,800000000,800065314,0,358243032,1,0,0.829266,0.457402,-0.0270172,-0.0486002,-0.0253084,0.0029904,-1
9,3,3,0,900000000,900064526,0,458242073,1,0,0.891541,0.400501,-0.057348,-0.0478644,-0.0210108,0.00157128,-1
10,3,4,0,1000000000,1000077337,0,558255095,0,0,0.891975,0.372475,-0.16382,-0.00191638,-0.0377176,0.0115496,-0.994408
11,4,2,1,1100000000,1100080779,0,354682438,1,0,0.943903,0.42298,-0.203568,-0.0360676,-0.0228926,0.00202719,-1
12,4,3,0,1200000000,1200069370,0,454671379,0,0,0.972749,0.355019,-0.254841,-0.0304163,-0.0201971,0.000104115,-0.999858
13,4,4,0,1300000000,1300064532,0,554666201,0,0,0.910006,0.289499,-0.464971,0.0132768,-0.0482475,0.00795722,-0.976326
14,5,2,1,1400000000,1400066973,0,355382713,0,0,0.810593,0.235147,-0.741235,0.000916629,-0.0489283,-0.0096266,-0.974849
15,5,3,0,1500000000,1500077505,0,455393315,0,0,0.769138,0.15742,-0.805688,0.0019757,-0.0486175,-0.0118084,-0.986562
16,5,4,0,1600000000,1600100676,0,555416006,0,0,0.423593,0.0782647,-0.929851,0.057339,-0.0925635,0.00876782,-0.98182
17,6,2,1,1700000000,1700069907,0,356381433,1,0,0.181776,0.190058,-1,0.00391397,-0.0735024,0.00320857,-0.985758
18,6,3,0,1800000000,1800077349,0,456389185,1,0,0.138532,0.13105,-1,0.00370053,-0.0681094,0.00437777,-0.995134
19,6,4,0,1900000000,1900076490,0,556388287,1,0,-0.120472,0.0440436,-1,0.0449819,-0.0907513,0.0265604,-0.999251
