step,chunk_id,chunk_index,chunk_boundary,deadline_offset_ns,emit_offset_ns,fallback,observation_age_ns,safety_flags,safety_rejected,action_0,action_1,action_2,action_3,action_4,action_5,action_6
0,0,-1,0,0,65743,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,100000000,100077255,0,201122976,1,0,0.323205,0.305677,-0.00452569,-0.0172266,-0.00290091,0.00208014,-1
2,1,2,0,200000000,200066696,0,301112557,1,0,0.556927,0.388115,0.103213,-0.0463057,-0.0120177,0.00123369,-1
3,1,3,0,300000000,300076208,0,401121989,1,0,0.704882,0.391616,0.0790067,-0.0492069,-0.00778896,0.00230316,-1
4,1,4,0,400000000,400087630,0,501132951,1,0,0.741079,0.405435,0.00947277,-0.0120602,-0.0195654,0.0109215,-1
5,2,3,1,500000000,500065891,0,601111442,1,0,0.77677,0.425565,0.0247085,-0.0435456,-0.0148496,0.00184637,-1
6,2,4,0,600000000,600067002,0,701112723,1,0,0.788281,0.423384,-0.0225963,-0.0104131,-0.0239859,0.010307,-1
7,2,5,0,700000000,700095754,0,801141005,1,0,0.823383,0.43054,-0.0517885,-0.00347608,-0.0168484,0.00968478,-1
8,2,6,0,800000000,800077295,0,901122566,0,0,0.854884,0.432129,-0.0689274,-0.00704189,-0.0119402,0.0101468,-0.998937
9,3,3,1,900000000,900070436,0,452150796,1,0,0.904297,0.421492,-0.141076,-0.00716301,-0.00700576,0.00771563,-1
10,3,4,0,1000000000,1000069708,0,552150258,1,0,0.911845,0.390126,-0.186546,0.000929392,-0.0246518,0.0102483,-1
11,3,5,0,1100000000,1100070939,0,652151620,1,0,0.940104,0.3533,-0.251484,0.00344846,-0.0195902,0.00925429,-1
12,3,6,0,1200000000,1200076361,0,752157151,1,0,0.965905,0.33128,-0.304411,0.000788032,-0.0125999,0.0103464,-1
13,4,3,1,1300000000,1300068922,0,457209972,1,0,0.972565,0.301541,-0.468264,0.000462363,-0.00634612,0.00438673,-1
14,4,4,0,1400000000,1400078313,0,557219143,0,0,0.655418,0.190301,-0.780334,0.0376529,-0.0646557,0.00737589,-0.97752
15,4,5,0,1500000000,1500102556,0,657242775,0,0,0.5616,0.163365,-0.871838,0.0497456,-0.0516444,0.00178152,-0.992778
16,4,6,0,1600000000,1600091027,0,757231787,0,0,0.433162,0.152776,-0.937246,0.0351529,-0.0368885,0.00275572,-0.998122
17,5,3,1,1700000000,1700074828,0,456665451,0,0,0.354613,0.14325,-0.974413,0.020027,-0.0267083,0.00357784,-0.97719
18,5,4,0,1800000000,1800073450,0,556664752,1,0,-0.0743758,0.0853194,-1,0.0331965,-0.0669745,0.0264921,-0.989923
19,5,5,0,1900000000,1900067391,0,656658564,1,0,-0.14114,0.0797876,-1,0.0419197,-0.0561097,0.0232474,-0.984636
20,5,6,0,2000000000,2000066153,0,756657055,1,0,-0.255766,0.0697069,-1,0.0295137,-0.0422918,0.0283783,-0.990752
21,6,3,1,2100000000,2100066734,0,455253812,1,0,-0.307863,0.0625084,-1,0.0166445,-0.0346494,0.0230421,-0.98658
22,6,4,0,2200000000,2200074795,0,555261233,0,0,-0.67454,0.0114436,-0.995263,0.0241184,-0.0802059,0.0383099,-0.997412
23,6,5,0,2300000000,2300079627,0,655266175,1,0,-0.685773,-0.00949091,-1,0.0348896,-0.0754426,0.0338681,-0.994781
24,6,6,0,2400000000,2400075988,0,755262556,1,0,-0.731562,-0.0222364,-0.993671,0.0298206,-0.064011,0.0374873,-1
25,7,3,1,2500000000,2500075430,0,457509039,0,0,-0.649159,-0.0517999,-0.983478,0.0269668,-0.0510029,0.0359844,-0.990952
26,7,4,0,2600000000,2600095632,0,557529110,1,0,-0.776069,-0.0749667,-0.977094,0.0380142,-0.0918659,0.0473339,-1
27,7,5,0,2700000000,2700096523,0,657530052,1,0,-0.621551,-0.0840584,-0.955763,0.0504861,-0.077842,0.0384045,-1
28,7,6,0,2800000000,2800073644,0,757507223,1,0,-0.525719,-0.089753,-0.888824,0.0422942,-0.0549177,0.0365475,-1
29,8,3,1,2900000000,2900073616,0,448734866,0,0,-0.355076,-0.0682552,-0.695935,0.029699,-0.037129,0.023143,0.988318
30,8,4,0,3000000000,3000068907,0,548730326,0,0,-0.323748,-0.0432855,-0.50797,0.0262306,-0.05259,0.0164986,0.912111
31,8,5,0,3100000000,3100069208,0,648731068,0,0,-0.0860629,-0.0332609,-0.265179,0.0175773,-0.0206567,-0.00220262,0.856793
32,8,6,0,3200000000,3200077530,0,748739360,0,0,0.00602426,-0.0214486,-0.110049,0.0023691,0.00441858,-0.0105566,0.887961
33,9,3,1,3300000000,3300066961,0,448816017,1,0,0.0385019,0.000296339,-0.0194855,-0.00143499,0.0301477,-0.0194359,1
34,9,4,0,3400000000,3400066502,0,548815539,0,0,-0.0511684,0.00436509,-0.0336496,-0.000508031,-0.000681694,-0.0187456,0.958651
